nrh,ix,L,R
3,6,152,42
4,5,151,42
6,8,150,52
7,6,147,44
13,6,150,56
14,3,146,46
15,2,151,57
16,2,154,47
17,5,154,49
20,2,144,51
21,3,152,49
23,2,154,54
24,1,157,63
25,6,150,55
26,9,149,65
29,8,149,61
30,4,143,77
34,9,150,73
37,5,140,52
38,4,156,79
39,7,142,82
41,6,146,67
46,9,151,78
47,8,144,89
48,5,128,72
50,8,129,59
51,3,132,75
53,5,132,74
55,8,141,60
57,6,139,83
58,4,128,78
59,8,132,81
60,2,128,80
61,9,127,80
62,4,129,89
63,1,132,84
64,7,147,93
68,9,122,89
69,6,120,88
70,2,130,104
71,1,120,90
73,1,128,89
74,5,118,106
78,2,120,91
81,7,119,98
82,9,114,103
83,2,109,102
86,5,111,100
87,3,102,107
88,2,99,102
90,9,104,102
91,6,95,104
93,2,103,102
96,9,91,106
99,6,102,117
100,4,81,123
102,6,85,112
107,8,78,109
108,7,76,113
109,9,76,122
110,4,91,107
112,2,79,119
114,3,76,120
115,9,74,126
117,8,74,124
119,8,75,130
121,4,69,127
125,1,73,134
127,6,65,126
128,2,60,136
129,4,60,129
130,8,65,135
131,7,63,129
132,4,62,139
133,7,68,140
135,6,58,136
136,2,60,137
138,1,56,129
139,7,58,139
144,2,61,139
145,6,50,132
146,7,45,126
150,8,46,132
151,2,54,139
153,5,45,135
156,6,45,135
157,1,45,133
160,1,53,134
161,9,43,140
163,2,41,135
165,7,38,134
167,6,38,132
168,2,38,130
169,1,38,134
170,3,35,130
171,5,38,133
172,3,36,130
176,1,35,134
177,5,36,129
179,8,34,133
