nrh,ix,L,R
2,3,2016,1497
3,2,2018,1492
6,9,2025,1507
7,6,2020,1513
8,7,2042,1569
9,2,2038,1530
10,5,2052,1598
11,6,2045,1560
13,1,2064,1603
16,9,2070,1638
17,3,2058,1632
18,3,2073,1688
19,7,2113,1660
20,2,2096,1682
21,1,2065,1651
23,2,2095,1707
24,4,2106,1725
25,5,2081,1733
26,3,2100,1728
28,9,2098,1699
31,6,2093,1751
32,7,2093,1775
33,9,2096,1792
34,8,2129,1821
35,2,2092,1751
37,9,2090,1815
38,9,2116,1853
40,2,2143,1794
41,9,2066,1775
43,6,2095,1793
44,8,2084,1890
46,1,2138,1867
47,3,2128,1823
48,6,2129,1928
49,5,2145,1877
50,2,2237,2019
51,5,2091,1908
52,6,2142,1936
53,9,2174,1948
55,6,2105,1977
56,5,2124,1889
57,2,2178,1967
58,2,2037,1900
59,5,2185,2023
60,7,2141,1984
63,1,2159,2052
65,7,2215,2044
66,5,2192,2153
68,9,2080,1920
69,8,2068,2000
72,3,2003,1914
75,6,2078,2022
80,9,2073,1981
81,2,2106,2008
85,1,2087,2069
87,2,2052,2011
89,9,2086,1974
91,6,2003,2004
94,2,2085,2071
95,7,1976,2051
96,5,2081,2117
97,9,2014,2065
98,8,2035,2062
99,6,1962,2010
100,2,1997,2070
103,2,1972,2065
104,8,1956,2085
105,3,1978,2015
106,5,1899,2044
109,5,2021,2099
110,8,2052,2185
111,4,1957,2033
113,6,1983,2042
114,9,1955,2036
115,9,1922,2012
116,7,1973,2124
117,4,1936,1975
118,7,1981,2071
119,1,1894,1980
120,3,1893,2026
121,8,1853,1883
123,3,1925,2029
124,4,1917,2026
126,8,1882,2025
128,6,1901,2034
129,7,1935,2140
130,6,1857,2055
131,5,1864,1994
133,6,1810,1953
134,1,1810,2029
135,1,1774,1983
136,4,1788,1975
137,3,1769,1981
139,5,1790,2049
142,5,1740,1953
143,5,1717,1958
144,8,1696,1912
147,8,1707,1947
149,9,1702,1991
150,2,1685,1960
