nrh,ix,L,R
2,2,600,323
3,7,603,328
7,7,583,316
8,1,602,324
9,5,641,386
10,4,612,349
11,8,638,395
14,5,650,438
15,4,627,374
16,4,639,447
18,3,636,389
19,9,640,460
20,5,572,361
22,8,648,493
24,8,633,457
25,4,643,473
26,5,667,566
28,7,615,485
30,2,685,577
31,1,649,582
32,3,660,563
33,1,670,589
35,6,690,618
38,7,657,573
41,3,703,651
44,3,688,667
45,3,669,662
46,5,665,619
47,7,648,646
48,1,698,726
49,7,728,741
50,6,738,717
52,1,632,615
53,3,654,701
54,9,745,802
55,3,667,685
56,2,621,710
57,1,674,738
58,1,658,760
59,7,647,764
60,5,770,873
65,6,651,735
67,5,676,861
68,3,667,850
70,6,696,886
71,7,644,786
73,1,765,988
74,5,755,958
79,2,725,989
80,6,639,953
81,7,694,951
84,1,704,986
85,1,680,981
87,1,622,891
88,8,645,914
89,6,745,1106
90,2,680,1044
91,6,637,1014
94,2,659,974
97,4,598,936
98,3,651,985
99,3,702,1100
100,4,605,942
101,8,630,982
103,4,649,1014
104,5,601,1027
105,2,636,1103
107,2,602,1025
108,9,618,1105
109,3,596,1071
110,3,594,1086
112,5,679,1143
113,4,680,1114
114,2,576,1045
116,4,523,952
117,8,610,1097
119,2,547,1017
120,1,591,1081
123,4,548,1024
124,5,541,989
125,8,543,1054
127,7,541,1056
128,2,562,1081
129,1,529,1068
130,2,530,1038
131,9,532,1039
133,8,537,1034
138,5,473,1001
139,9,500,1029
140,4,532,1100
141,5,503,1068
142,3,448,1005
143,4,537,1108
148,4,407,985
151,7,406,976
153,8,441,1030
154,8,435,1015
157,4,416,991
160,2,393,982
161,2,401,1000
