nrh,ix,L,R
1,5,943,608
3,5,937,611
4,3,934,609
6,5,933,607
7,3,947,615
8,4,920,624
9,7,937,628
10,5,925,620
13,7,931,659
15,7,931,650
16,4,929,643
18,1,939,642
19,6,911,627
22,1,931,663
24,4,921,639
25,3,917,635
26,1,929,628
27,2,927,658
28,5,919,616
30,5,928,658
31,6,921,651
32,1,927,655
33,7,913,643
34,9,913,666
35,2,897,660
36,6,949,648
37,8,935,658
38,4,904,662
39,6,930,668
40,7,915,661
41,5,908,647
43,8,887,637
44,8,899,699
45,8,907,699
46,2,895,649
47,6,894,686
48,7,863,632
49,5,921,710
50,1,917,652
51,1,887,672
52,7,888,662
53,5,879,688
54,9,888,685
55,5,922,707
56,9,883,684
57,8,838,665
58,4,895,692
59,3,849,705
60,3,890,697
61,8,834,647
62,5,863,687
64,4,815,659
66,2,899,692
67,9,851,720
68,2,882,680
69,4,873,673
70,5,847,680
71,1,830,708
72,2,806,679
73,6,841,704
75,5,830,688
79,1,827,702
80,8,811,646
83,2,790,639
84,9,828,659
86,2,793,674
87,9,809,664
88,8,747,652
89,8,813,658
91,5,784,675
92,5,782,694
93,5,777,646
94,8,787,664
95,9,779,663
96,5,791,670
98,4,794,683
99,5,792,705
100,4,724,634
101,7,778,662
102,4,767,680
103,7,712,662
104,2,763,678
105,8,707,656
107,2,719,662
108,4,739,680
110,3,736,690
111,7,715,676
112,3,703,676
113,8,702,668
114,4,694,675
115,2,653,629
117,7,715,678
118,8,704,659
119,7,696,677
120,8,640,642
121,7,677,663
122,5,645,653
123,2,652,648
124,9,637,646
126,6,652,656
