nrh,ix,L,R
2,2,1608,1266
3,5,1621,1289
4,9,1610,1281
5,8,1617,1288
7,9,1628,1318
9,8,1607,1285
10,4,1642,1328
14,4,1660,1369
15,8,1645,1335
16,6,1662,1382
17,4,1667,1364
19,1,1664,1357
20,1,1684,1423
22,1,1658,1341
25,1,1703,1455
28,6,1743,1484
29,3,1720,1446
30,1,1737,1476
32,1,1735,1453
34,3,1727,1529
38,1,1785,1591
40,1,1757,1577
43,1,1822,1643
45,3,1795,1635
46,1,1834,1694
47,9,1775,1601
50,9,1753,1548
55,1,1809,1676
57,5,1860,1745
60,3,1799,1687
62,2,1873,1776
63,9,1794,1722
64,1,1807,1686
72,2,1830,1769
73,5,1827,1712
74,8,1868,1808
77,8,1851,1787
78,8,1905,1817
79,5,1885,1824
80,5,1835,1774
82,1,1857,1804
83,4,1874,1829
84,6,1844,1828
86,8,1845,1832
92,1,1925,1960
93,2,1883,1861
94,5,1815,1810
96,5,1868,1907
97,7,1910,1943
101,5,1848,1888
102,6,1842,1846
103,8,1864,1907
105,8,1852,1890
106,6,1930,1982
107,7,1799,1832
108,3,1896,1939
109,7,1930,2019
110,2,1833,1875
111,2,1871,1977
113,9,1912,1958
115,5,1898,1948
117,9,1837,1897
119,6,1815,1908
122,7,1857,1923
123,6,1854,2029
126,2,1855,1980
127,2,1830,1959
133,2,1860,1972
135,8,1829,1982
141,1,1842,2045
142,5,1775,1942
145,5,1802,1999
146,1,1821,2030
148,9,1830,2102
149,8,1808,2027
150,4,1794,2021
152,5,1796,2033
153,5,1816,2103
155,7,1758,1934
156,4,1775,1991
158,7,1778,2046
159,2,1720,1931
160,7,1766,2006
161,4,1779,2008
163,8,1725,1981
164,8,1724,1956
167,4,1748,2023
168,3,1733,2050
170,2,1732,2001
172,9,1719,1971
174,7,1747,2020
176,6,1716,1990
177,4,1717,1995
179,5,1704,1983
182,9,1701,1987
183,7,1679,1949
184,5,1693,1968
188,1,1695,2026
190,2,1663,1969
199,9,1616,1995
