nrh,ix,L,R
2,8,782,1097
3,2,779,1099
6,1,793,1125
7,2,786,1112
9,9,782,1127
11,1,784,1127
12,2,782,1126
15,1,798,1157
16,3,807,1173
17,8,780,1135
18,4,800,1189
20,1,806,1193
21,7,771,1156
23,2,784,1167
25,1,792,1182
28,7,803,1189
29,3,760,1149
30,5,794,1194
34,7,806,1217
37,6,769,1192
38,9,797,1204
41,7,835,1244
42,4,852,1271
44,2,814,1245
47,6,772,1246
52,1,795,1272
53,1,792,1248
58,3,829,1299
60,9,779,1283
62,8,797,1329
63,7,822,1301
64,2,792,1284
65,6,789,1259
67,1,795,1295
68,6,772,1256
72,9,775,1286
73,9,836,1354
74,5,823,1382
75,8,775,1284
76,3,799,1341
81,6,824,1352
83,3,816,1360
84,3,795,1328
87,5,801,1375
88,4,803,1379
94,7,805,1381
97,9,780,1323
98,6,820,1422
100,5,789,1342
106,2,809,1420
107,3,801,1381
109,4,815,1423
110,4,805,1382
112,6,814,1429
113,4,763,1388
116,1,820,1433
120,3,749,1367
124,1,772,1384
125,1,795,1468
126,1,815,1459
127,9,775,1418
128,1,829,1450
132,6,786,1474
134,9,756,1407
137,3,736,1397
138,3,755,1429
140,9,704,1367
141,3,754,1471
142,7,701,1339
145,5,758,1469
150,5,774,1474
153,8,760,1479
157,3,720,1430
161,8,729,1450
162,2,732,1446
163,5,727,1421
164,9,716,1438
165,8,736,1463
166,2,734,1465
168,7,698,1420
170,9,700,1424
171,2,733,1493
172,9,703,1446
174,4,677,1403
176,3,717,1483
179,2,714,1479
182,2,704,1478
184,9,709,1450
186,1,709,1491
187,6,700,1460
194,3,686,1466
195,6,674,1464
196,8,678,1463
198,8,662,1452
199,7,660,1457
200,3,679,1454
201,2,682,1466
203,3,668,1463
205,2,677,1475
206,8,668,1467
