nrh,ix,L,R
6,4,1500,1167
7,8,1480,1178
8,6,1459,1164
10,5,1486,1191
11,6,1466,1165
13,1,1514,1238
16,2,1515,1234
17,4,1540,1271
21,8,1556,1377
23,4,1593,1432
30,2,1579,1484
32,6,1608,1557
33,9,1559,1410
34,8,1615,1565
38,2,1607,1583
42,8,1536,1473
44,7,1641,1694
47,5,1520,1468
48,7,1593,1607
49,1,1660,1734
50,3,1716,1870
51,3,1521,1458
52,9,1639,1819
53,5,1588,1696
58,2,1689,1851
59,1,1641,1857
61,4,1875,2247
64,3,1705,1892
65,5,1724,2019
66,2,1719,2025
67,4,1687,1923
68,1,1710,2071
70,6,1790,2114
71,6,1707,2040
77,5,1716,2144
79,4,1727,2148
80,9,1757,2228
81,8,1721,2150
82,5,1758,2200
83,8,1821,2238
84,4,1693,2130
93,5,1784,2330
94,6,1736,2250
95,7,1687,2150
96,2,1750,2287
98,7,1567,2064
99,5,1681,2159
100,3,1768,2294
104,4,1807,2419
106,8,1678,2292
108,4,1735,2303
109,4,1736,2284
110,6,1763,2437
112,7,1739,2393
113,9,1770,2440
115,9,1849,2540
117,6,1814,2457
119,9,1833,2521
124,8,1752,2450
128,2,1738,2461
130,4,1789,2518
132,1,1773,2521
134,7,1732,2522
137,2,1700,2443
141,6,1709,2480
142,2,1780,2573
148,1,1715,2561
150,2,1704,2535
152,7,1684,2519
153,6,1724,2563
155,2,1670,2506
157,4,1704,2553
159,1,1723,2593
161,4,1700,2571
162,7,1693,2569
163,3,1758,2637
164,2,1691,2553
165,6,1670,2541
167,4,1676,2566
168,2,1747,2628
170,3,1677,2582
174,6,1678,2577
175,5,1664,2552
178,5,1625,2530
181,5,1668,2537
183,5,1638,2601
186,9,1626,2573
187,9,1643,2595
188,7,1603,2592
190,2,1564,2531
192,7,1603,2558
193,2,1666,2617
195,8,1651,2617
196,9,1606,2568
198,8,1647,2620
199,9,1586,2574
203,7,1625,2605
205,6,1628,2590
207,8,1606,2605
211,6,1589,2582
