nrh,ix,L,R
1,1,2058,616
2,3,2063,616
3,9,2061,620
6,7,2058,629
8,5,2087,641
9,6,2086,648
11,8,2085,660
14,9,2081,669
16,5,2086,674
17,5,2098,696
20,5,2076,675
21,6,2096,714
23,9,2122,720
27,4,2127,745
29,8,2108,744
30,1,2091,740
32,6,2142,777
34,4,2091,738
35,4,2125,770
36,4,2146,793
38,7,2123,787
40,6,2139,818
41,1,2113,792
43,8,2121,819
44,9,2095,818
45,8,2135,837
50,9,2136,848
51,4,2148,863
52,3,2147,869
54,8,2147,855
56,9,2152,870
58,1,2154,871
59,7,2189,903
60,4,2143,919
61,2,2163,922
62,4,2192,923
64,3,2172,917
65,4,2184,913
67,7,2161,925
68,7,2135,928
70,4,2144,941
71,8,2157,969
72,4,2154,969
73,6,2136,963
74,1,2163,967
75,8,2149,955
77,2,2160,974
78,8,2137,946
79,2,2127,956
80,2,2108,982
81,6,2155,977
84,7,2146,1022
85,7,2174,1049
86,2,2139,1035
87,2,2152,1022
88,8,2134,1047
91,7,2134,1078
92,8,2145,1057
93,8,2163,1090
96,3,2148,1095
97,8,2130,1117
99,2,2151,1119
103,1,2177,1153
105,1,2111,1119
107,4,2174,1182
111,8,2155,1173
114,7,2144,1218
116,9,2100,1203
121,2,2084,1225
124,7,2067,1231
125,6,2111,1278
127,4,2053,1245
128,1,2076,1263
131,3,2090,1268
133,5,2047,1276
134,6,2047,1295
135,2,2063,1308
136,6,2063,1337
138,4,2047,1305
142,4,2015,1372
143,5,1987,1365
144,5,1971,1350
147,9,1970,1389
149,7,1963,1378
152,1,1969,1399
154,8,1894,1414
158,9,1881,1410
161,9,1864,1442
163,8,1843,1474
164,2,1854,1462
166,2,1799,1469
167,5,1814,1481
168,7,1809,1463
170,5,1803,1472
173,6,1801,1504
175,1,1747,1500
176,4,1749,1497
177,8,1742,1497
181,4,1669,1513
182,8,1663,1516
