nrh,ix,L,R
1,6,1781,749
2,7,1797,759
3,5,1786,779
4,7,1799,769
7,3,1818,795
8,5,1796,810
10,9,1768,812
11,3,1764,798
12,8,1817,816
13,9,1808,826
14,8,1870,853
15,8,1851,855
16,2,1807,902
17,9,1778,839
18,7,1873,831
19,4,1800,866
20,6,1831,833
21,2,1908,914
22,9,1778,889
23,8,1870,875
24,8,1806,917
25,4,1763,852
26,5,1831,881
27,2,1943,960
28,9,1859,955
30,7,1787,917
32,1,1875,958
33,3,1923,964
34,6,1841,915
35,8,1792,1023
36,8,1766,975
37,6,1683,992
38,5,1760,972
39,4,1756,943
40,8,1860,1023
42,5,1729,1053
43,3,1891,1028
44,4,1806,1087
45,3,1681,1036
47,6,1803,1020
48,5,1658,1041
49,7,1821,1087
50,1,1735,1105
54,1,1803,1014
55,7,1599,1096
57,7,1725,1106
58,6,1481,1081
60,3,1723,1104
61,1,1674,1044
62,5,1548,1121
63,5,1757,1218
64,8,1656,1119
65,4,1567,1106
66,6,1621,1103
67,7,1750,1120
70,7,1513,1114
71,4,1371,1103
72,4,1670,1138
73,9,1774,1166
74,6,1445,1042
75,7,1396,1048
76,1,1499,1120
77,2,1488,1137
79,5,1544,1128
81,6,1564,1141
83,2,1601,1160
84,1,1429,1176
85,2,1395,1131
88,5,1329,1203
89,8,1270,1163
92,3,1337,1142
94,4,1319,1186
95,3,1281,1152
97,5,1297,1146
98,9,1364,1142
99,4,1301,1164
100,4,1250,1136
101,3,1244,1164
102,4,1200,1152
104,2,1268,1118
105,6,1211,1174
106,5,1124,1122
108,3,1205,1211
109,5,993,1159
110,1,1092,1193
112,4,897,1172
114,2,1102,1159
115,1,1117,1161
118,7,959,1133
119,9,1005,1175
120,8,931,1103
122,3,912,1179
123,7,952,1147
124,7,926,1132
125,2,886,1126
126,3,941,1139
127,6,838,1129
129,6,855,1137
130,1,866,1140
132,2,796,1134
