nrh,ix,L,R
1,2,2643,1115
3,7,2652,1139
5,6,2643,1131
8,5,2640,1148
10,9,2658,1172
11,6,2645,1188
12,3,2656,1170
13,1,2675,1179
16,3,2674,1188
17,3,2652,1203
18,7,2662,1196
21,6,2653,1241
22,5,2645,1231
24,5,2688,1216
25,6,2640,1220
26,3,2680,1258
27,1,2665,1281
28,5,2692,1249
29,6,2666,1264
35,6,2634,1318
36,8,2645,1302
37,4,2677,1274
40,5,2582,1322
42,3,2697,1348
45,2,2663,1313
48,1,2637,1367
50,4,2648,1370
51,2,2652,1393
53,2,2603,1359
55,7,2630,1363
58,7,2628,1409
63,4,2633,1416
65,9,2512,1433
67,1,2585,1431
68,9,2617,1448
69,7,2568,1428
71,1,2531,1444
73,3,2512,1485
77,6,2580,1486
79,6,2551,1462
80,7,2507,1467
81,5,2497,1492
83,3,2531,1495
86,2,2489,1491
87,5,2481,1506
88,6,2469,1472
89,5,2501,1511
91,4,2477,1530
93,7,2494,1485
94,6,2450,1515
96,4,2412,1519
97,5,2451,1513
98,1,2431,1496
100,2,2432,1533
101,7,2402,1496
102,4,2397,1502
103,3,2443,1519
104,1,2401,1530
108,9,2358,1557
109,3,2356,1515
110,3,2390,1540
111,4,2407,1558
113,8,2295,1543
115,9,2326,1497
118,8,2301,1559
119,2,2334,1530
120,1,2258,1525
121,7,2339,1538
123,7,2262,1538
124,5,2281,1526
125,7,2322,1516
127,4,2226,1531
128,6,2228,1518
129,3,2245,1527
133,9,2185,1573
134,2,2212,1545
137,2,2229,1502
138,5,2244,1538
145,4,2112,1562
146,8,2064,1529
148,3,2045,1541
149,6,2020,1534
151,3,2118,1540
152,2,2054,1542
153,3,1941,1515
154,4,1993,1549
158,4,1950,1539
160,3,2011,1544
166,5,1861,1531
167,8,1941,1487
171,5,1819,1496
175,6,1770,1501
176,4,1791,1508
179,6,1669,1490
182,9,1685,1475
183,7,1641,1482
185,9,1663,1486
190,9,1636,1468
191,9,1570,1471
192,1,1541,1453
