nrh,ix,L,R
1,9,3232,1554
2,1,3209,1561
4,5,3214,1620
5,6,3228,1606
6,5,3231,1589
7,5,3220,1567
8,2,3197,1603
9,4,3141,1533
10,8,3220,1719
11,7,3245,1702
12,3,3214,1735
13,7,3229,1707
14,2,3174,1662
15,2,3150,1614
16,1,3177,1705
17,9,3200,1701
19,7,3180,1765
20,5,3236,1736
21,5,3114,1736
23,5,3043,1739
24,8,3185,1833
25,3,3089,1789
26,2,3153,1805
27,9,3210,1835
28,4,3220,1893
29,6,3145,1927
30,9,3126,1898
31,2,3196,1907
32,7,3059,1871
33,6,3198,1801
34,1,3011,1724
35,7,3131,1934
36,2,3046,1778
37,9,3170,1907
38,7,3242,1967
40,2,3167,1995
42,3,3085,1873
44,7,2950,1929
46,1,3112,1945
48,7,3088,2011
49,4,3031,1933
50,1,3095,2023
51,7,3025,1933
52,7,2972,1878
53,1,2786,1934
54,8,3076,1970
55,9,2769,1931
57,2,2822,1938
58,9,3044,2091
59,5,2796,2148
60,3,2999,2038
61,6,2837,2165
63,5,3050,2057
64,4,2681,1995
65,3,2741,1971
68,7,2823,2144
70,5,2505,2108
71,3,2491,2188
72,6,2726,2082
73,2,2675,2017
74,2,2489,2049
75,4,2634,2023
77,3,2614,2161
78,1,2665,2007
79,2,2584,2016
80,5,2584,2037
81,7,2634,1943
82,5,2328,1908
84,8,2254,1998
86,5,2179,1987
87,4,2112,2048
88,9,2073,1974
90,7,2286,1931
91,7,2128,1992
93,9,2069,1959
94,8,1654,1878
96,9,1946,1965
98,9,1853,1940
100,4,1468,1816
101,5,1602,1895
102,3,1651,1910
103,1,1646,1913
105,5,1501,1884
106,2,1505,1934
107,3,1429,1861
109,5,1421,1859
110,5,1297,1843
111,2,1250,1798
112,8,1314,1828
113,9,1255,1787
115,6,1292,1820
117,2,1057,1699
118,6,1140,1737
120,7,973,1706
121,7,972,1695
122,9,960,1690
124,8,899,1653
126,7,864,1628
127,1,847,1580
128,9,771,1562
