nrh,ix,L,R
3,7,3025,1423
6,7,3030,1453
9,6,3014,1487
10,3,3030,1503
11,1,3036,1488
12,6,3028,1482
17,5,3018,1551
21,4,3009,1580
27,2,3072,1662
28,7,3102,1651
31,3,3094,1646
33,7,3088,1689
34,3,3128,1740
38,6,3047,1753
40,3,3035,1743
43,3,3103,1823
44,7,3018,1809
45,4,3058,1794
47,4,3079,1766
50,7,3074,1899
53,2,3111,1870
54,7,3146,1874
56,5,3089,1904
59,6,3096,1940
61,1,3133,1931
63,5,3114,1971
64,5,3061,1960
65,7,3110,1988
67,7,3086,2017
68,2,3104,2013
70,2,3143,1963
72,3,3079,2062
75,7,3071,2050
77,8,3122,2108
79,3,3118,2096
80,6,3136,2052
82,3,3074,2151
85,7,3105,2176
86,5,3089,2138
87,7,3024,2160
91,5,3077,2195
94,1,3036,2188
96,5,3145,2218
106,1,3050,2302
108,1,3081,2332
109,1,3002,2335
113,7,3000,2308
115,9,2919,2335
117,5,3035,2342
119,6,2996,2344
122,5,3047,2356
123,9,2962,2368
126,9,2948,2417
128,9,2948,2404
129,2,3039,2414
133,2,3043,2415
135,5,3005,2424
136,6,3062,2432
138,1,3005,2442
140,8,2950,2486
141,4,2945,2469
143,8,2903,2491
144,8,2904,2508
145,6,2829,2473
148,7,2915,2508
149,5,2907,2520
151,6,2894,2525
154,4,2936,2541
159,6,2799,2543
160,1,2831,2552
161,6,2891,2533
162,2,2873,2609
165,8,2878,2594
167,1,2798,2621
169,6,2743,2611
170,2,2780,2596
171,1,2772,2599
172,2,2811,2600
173,6,2837,2606
174,3,2726,2642
176,3,2675,2636
179,6,2726,2619
183,2,2697,2598
184,8,2680,2632
185,1,2692,2650
187,8,2699,2623
188,4,2681,2641
189,4,2644,2641
191,8,2639,2648
193,6,2642,2665
194,9,2624,2638
196,5,2614,2660
197,4,2577,2658
199,7,2587,2668
201,6,2588,2698
202,7,2560,2663
204,7,2513,2677
206,9,2483,2679
208,2,2493,2683
211,1,2464,2695
