nrh,ix,L,R
1,8,684,472
2,7,711,483
4,7,703,491
5,6,680,494
6,1,700,500
8,3,687,498
9,8,736,518
10,6,710,513
11,4,720,523
12,9,704,535
14,2,716,542
15,6,704,519
16,6,734,564
17,5,715,544
18,6,718,545
20,3,720,597
21,5,715,577
23,7,737,601
24,1,714,589
25,4,727,607
26,4,727,606
28,5,730,583
32,4,710,639
33,1,730,646
34,4,709,601
35,8,743,631
39,3,732,649
40,1,705,645
41,6,738,672
42,5,721,642
44,4,752,713
45,9,764,690
46,5,730,658
47,3,763,717
48,6,753,707
49,9,738,714
51,1,761,713
52,3,735,692
53,8,786,761
55,6,814,749
58,8,768,734
59,8,717,731
61,1,775,748
62,9,702,715
64,3,819,803
66,5,734,739
69,3,780,781
70,7,765,792
71,8,788,755
72,7,808,836
73,8,758,806
74,9,716,751
75,4,768,805
77,3,756,819
78,2,767,851
79,3,781,794
80,6,742,769
82,2,802,888
83,6,781,842
84,1,757,821
85,7,739,790
86,2,712,793
87,3,778,829
89,9,768,846
91,2,813,922
92,2,743,879
94,4,770,853
95,3,791,897
96,6,765,860
97,2,774,864
100,2,732,855
102,8,802,971
104,2,739,825
105,5,721,848
106,7,751,909
108,2,751,893
109,6,727,853
111,1,739,882
112,7,752,917
114,6,733,879
115,8,718,880
116,2,702,866
118,9,693,894
119,4,706,836
120,2,729,915
121,1,732,934
122,7,703,889
124,7,709,917
126,8,707,915
127,6,728,961
128,4,705,911
129,1,687,881
130,9,716,911
132,6,690,917
133,2,686,903
135,6,699,923
137,6,697,908
138,4,689,906
139,1,697,922
140,9,693,930
