nrh,ix,L,R
1,2,2697,1941
2,6,2719,1966
3,2,2718,1975
4,7,2798,2014
5,9,2711,1982
7,1,2666,1967
8,6,2606,1960
11,3,2670,1998
12,5,2628,1979
13,6,2643,2020
14,9,2708,2052
15,8,2586,2024
16,1,2626,2049
17,7,2678,2062
18,6,2657,2046
19,2,2428,1975
20,7,2540,2039
21,7,2696,2094
22,6,2634,2050
23,7,2580,2114
25,3,2392,1980
26,8,2436,2044
27,8,2613,2115
28,5,2460,2067
29,6,2443,2033
31,1,2450,2033
32,1,2539,2124
33,1,2363,2086
35,6,2383,2011
37,8,2207,1957
38,8,2414,2085
41,6,2217,2059
43,2,2241,1989
44,2,2346,2098
45,2,2161,1997
46,4,2199,2019
47,6,2316,2078
48,7,2246,2009
49,5,2071,1978
51,4,2166,2010
54,1,1907,1873
56,8,2143,2005
57,6,1965,2004
58,3,1680,1791
59,2,1930,1913
60,1,1939,1913
61,1,1829,1851
62,7,1559,1736
63,6,1846,1828
65,6,1674,1783
66,6,1489,1713
67,6,1353,1622
68,4,1658,1778
69,7,1599,1753
70,6,1491,1730
71,8,1367,1636
73,6,1163,1488
74,6,1399,1646
77,6,1316,1597
78,5,1291,1651
79,7,1434,1711
80,3,1131,1522
81,8,1454,1774
82,8,1198,1583
84,6,1441,1743
85,2,1102,1499
86,8,1111,1466
87,8,807,1298
88,6,1025,1447
89,4,730,1172
92,9,717,1189
93,1,743,1206
94,5,820,1312
95,3,891,1369
96,5,898,1392
97,5,664,1166
98,3,604,1125
99,7,666,1197
101,7,762,1253
102,2,645,1151
103,9,635,1192
104,2,683,1220
106,3,616,1158
107,1,499,1047
108,8,564,1132
109,5,358,942
110,8,524,1082
111,5,416,1037
116,9,321,911
117,5,327,930
118,9,262,844
119,5,469,1071
120,4,248,872
122,1,325,917
123,4,218,808
124,5,209,803
125,4,273,861
126,9,227,827
127,7,267,859
130,4,198,781
