nrh,ix,L,R
1,8,3287,2552
2,5,3234,2534
3,6,3278,2587
4,7,3292,2540
5,9,3275,2622
6,5,3245,2578
7,2,3352,2641
8,3,3237,2573
9,3,3099,2554
10,2,3288,2682
11,5,3202,2663
12,9,3188,2611
13,6,3155,2660
14,2,3043,2573
15,8,3101,2623
16,2,3003,2631
17,1,3027,2739
18,8,2933,2590
19,4,2804,2496
20,9,3194,2767
21,2,2901,2634
22,8,3083,2634
23,7,2907,2642
24,9,2863,2566
25,7,3039,2675
26,1,2900,2548
27,5,2973,2696
28,7,3081,2825
29,5,2816,2521
30,2,2809,2691
31,8,2817,2539
32,1,3049,2785
33,8,2786,2567
34,9,2711,2666
35,3,2796,2668
36,6,2483,2476
37,4,2574,2604
38,1,2366,2477
39,9,2075,2333
40,2,2590,2638
41,6,2508,2639
42,7,2526,2601
43,8,2633,2767
44,2,2349,2535
45,5,2447,2506
46,9,2432,2677
47,1,2200,2423
48,4,2488,2536
49,2,2323,2579
50,9,2370,2554
51,9,2089,2341
52,3,1980,2395
53,8,2049,2386
54,7,1893,2380
55,4,2285,2638
56,1,1787,2372
57,4,2302,2513
58,6,2055,2381
59,5,2534,2743
60,2,1582,2148
61,1,1877,2375
62,1,2092,2572
63,3,1591,2161
64,9,1220,1914
65,5,1599,2168
66,1,1465,2123
67,9,1386,2125
68,3,1344,1974
69,9,1375,2083
70,5,1554,2119
71,6,1735,2341
72,2,1707,2359
73,5,1318,2067
74,8,1493,2189
75,6,1610,2315
76,4,1304,1966
77,5,1371,2154
78,2,1373,2177
79,9,1256,2048
80,1,963,1769
81,4,1352,2086
82,2,1173,1983
84,2,1136,1933
85,9,1178,1951
86,3,1123,1963
87,5,980,1784
88,5,1060,1888
89,6,1133,1969
90,9,1162,2015
91,3,1116,1883
92,2,957,1850
93,2,868,1726
94,4,916,1822
95,6,826,1698
96,7,763,1684
97,9,686,1548
98,7,720,1667
99,2,766,1691
100,4,747,1682
101,7,671,1599
