nrh,ix,L,R
1,5,1344,193
4,4,1352,203
6,9,1332,212
10,5,1355,214
12,7,1348,222
13,4,1350,235
18,3,1385,248
19,6,1429,286
21,1,1395,268
22,8,1401,323
23,7,1333,309
26,4,1379,323
28,3,1369,305
32,2,1387,369
33,4,1391,323
34,8,1390,367
37,4,1419,419
48,7,1476,477
49,9,1401,427
50,2,1480,501
52,3,1478,533
55,3,1450,517
57,2,1453,530
59,8,1497,520
61,3,1400,581
62,8,1455,564
67,2,1554,607
68,9,1496,624
69,7,1487,599
73,6,1448,633
74,6,1379,622
76,2,1428,632
77,2,1435,670
81,1,1475,772
83,8,1416,747
85,9,1412,757
87,4,1373,812
88,6,1370,780
89,1,1434,819
91,4,1501,820
92,6,1412,796
93,9,1427,831
97,7,1382,869
98,2,1412,878
99,4,1343,828
100,8,1489,941
103,7,1309,926
116,2,1498,1072
121,3,1321,1055
125,2,1256,1083
127,9,1243,1098
128,7,1160,1057
134,5,1383,1203
137,8,1321,1255
139,7,1331,1278
140,4,1299,1230
144,5,1189,1220
153,9,1251,1329
154,2,1234,1364
155,8,1029,1267
156,5,1225,1331
157,5,1160,1280
161,1,1146,1382
163,9,1233,1354
166,7,1133,1383
167,9,1109,1429
170,6,1163,1396
175,9,1025,1435
176,1,1059,1503
180,6,1031,1471
183,6,1042,1497
186,1,1036,1463
189,4,1036,1480
191,4,1004,1469
194,8,1017,1518
195,5,895,1484
199,3,877,1519
200,4,931,1531
201,1,886,1532
202,8,991,1533
205,9,956,1603
209,5,935,1563
210,8,924,1618
212,3,924,1560
213,6,890,1631
214,4,895,1576
215,3,893,1610
219,8,830,1590
223,2,836,1608
224,3,836,1558
225,6,824,1586
227,7,845,1601
231,1,812,1610
232,5,818,1613
234,9,756,1613
235,6,796,1603
239,3,772,1611
241,4,760,1603
243,8,758,1627
246,7,730,1626
