nrh,ix,L,R
3,5,595,149
6,3,601,155
8,8,589,149
9,9,585,146
12,1,600,161
14,6,565,156
16,2,524,163
19,7,528,153
20,3,526,161
24,9,485,163
25,4,509,172
27,3,520,171
28,5,557,158
35,8,504,163
37,9,433,191
40,9,463,192
42,1,449,190
43,9,412,198
47,5,449,195
48,2,554,176
51,8,378,185
52,2,388,192
54,2,385,210
55,7,403,198
58,1,409,205
61,1,307,225
62,9,365,202
67,7,358,215
72,1,399,223
73,4,325,239
74,9,348,226
78,2,286,274
79,8,376,227
81,3,289,261
85,6,324,259
94,9,335,227
95,6,272,246
96,3,290,292
100,3,302,261
101,8,248,286
104,6,290,280
105,6,287,270
107,1,296,253
109,4,284,287
112,9,299,280
114,7,291,319
115,6,269,329
117,8,283,326
118,7,260,328
123,2,252,284
126,6,251,324
129,3,259,280
134,1,277,314
140,6,305,330
142,2,228,336
146,6,228,297
148,4,251,348
151,6,311,346
152,8,286,368
153,8,245,310
154,7,244,315
162,6,262,347
164,2,281,326
168,8,197,327
169,5,189,337
173,8,236,364
175,3,218,374
177,4,223,348
178,8,174,326
180,5,221,350
182,9,192,337
183,4,177,354
187,7,193,342
190,9,181,341
192,4,188,351
193,5,160,351
203,1,148,349
208,6,137,364
211,1,193,377
214,4,136,342
215,8,146,355
220,5,164,381
221,3,184,373
223,3,150,360
225,2,142,352
231,7,157,359
237,8,142,370
240,1,121,355
241,2,160,376
251,9,127,355
255,6,137,354
256,4,135,344
258,8,133,357
259,1,130,358
262,3,123,351
266,9,121,352
267,6,123,354
268,7,124,357
271,7,115,344
274,8,114,343
