nrh,ix,L,R
12,5,2617,1527
14,1,2617,1514
16,3,2609,1531
20,8,2622,1542
21,6,2561,1489
25,3,2598,1512
26,3,2569,1532
29,1,2600,1529
30,6,2677,1573
33,7,2654,1546
34,8,2642,1568
36,6,2629,1563
42,4,2658,1594
46,2,2681,1603
47,1,2645,1570
51,3,2671,1611
52,1,2657,1623
65,2,2670,1651
66,4,2696,1665
72,6,2707,1669
75,1,2647,1618
79,5,2675,1647
83,4,2680,1673
85,9,2745,1647
87,7,2673,1675
89,5,2632,1652
92,7,2671,1689
97,7,2714,1671
98,7,2724,1694
100,8,2683,1697
106,2,2666,1699
109,9,2699,1739
110,7,2663,1709
113,8,2729,1766
117,1,2755,1780
121,4,2673,1769
124,2,2642,1670
125,2,2713,1776
129,6,2733,1737
139,8,2664,1732
145,9,2670,1764
150,7,2689,1832
154,8,2684,1787
168,4,2679,1809
171,8,2705,1754
174,4,2630,1795
179,8,2667,1820
184,5,2680,1850
185,9,2733,1825
200,3,2618,1844
208,3,2632,1896
214,7,2590,1870
216,3,2594,1873
220,4,2657,1876
221,6,2648,1897
226,1,2624,1831
231,8,2589,1899
232,2,2648,1896
236,3,2537,1883
237,3,2536,1841
239,5,2596,1842
240,3,2647,1925
242,9,2566,1903
248,5,2565,1935
249,2,2505,1900
253,3,2490,1915
255,3,2584,1944
266,6,2519,1895
282,5,2442,1946
286,1,2422,1939
288,2,2372,1923
294,6,2373,1911
298,4,2416,1995
310,6,2383,1968
316,6,2389,1949
329,6,2185,1930
330,4,2275,1971
331,8,2158,1900
335,4,2233,1962
339,9,2222,1950
341,2,2159,1950
344,3,2166,1949
345,7,2131,1925
349,1,2176,1977
352,3,2169,1943
354,8,2097,1959
355,5,2106,1979
356,9,2146,1975
360,8,2123,1929
364,1,2119,1931
366,1,2005,1925
369,4,1998,1891
372,5,1958,1863
388,9,1931,1914
392,9,1919,1898
393,4,1867,1902
407,7,1818,1876
410,7,1803,1856
416,9,1764,1832
417,2,1743,1821
