nrh,ix,L,R
1,4,2824,2495
2,5,2826,2479
3,4,2815,2486
4,1,2805,2494
5,3,2825,2526
6,9,2824,2519
7,6,2797,2484
8,8,2792,2475
9,8,2807,2507
10,6,2819,2520
11,2,2773,2462
13,9,2790,2491
14,3,2816,2523
17,5,2754,2443
20,1,2829,2522
21,8,2837,2554
22,4,2881,2619
24,2,2849,2577
26,4,2826,2567
27,5,2757,2527
28,3,2805,2521
31,8,2801,2540
33,8,2777,2523
34,2,2728,2490
37,7,2761,2526
40,3,2832,2595
41,6,2773,2578
42,5,2722,2506
43,2,2809,2624
45,6,2718,2439
46,8,2756,2511
47,9,2769,2595
49,8,2784,2599
51,9,2663,2513
52,1,2647,2437
54,5,2718,2547
55,2,2536,2308
56,5,2739,2586
57,9,2634,2442
58,3,2749,2535
59,4,2666,2597
60,1,2644,2473
61,1,2671,2576
62,7,2643,2461
63,4,2689,2591
65,3,2681,2508
66,5,2619,2469
67,6,2608,2456
68,4,2572,2482
69,3,2632,2547
70,9,2574,2400
72,7,2575,2463
73,2,2572,2417
75,3,2545,2466
76,3,2458,2359
80,2,2600,2512
81,5,2505,2381
84,7,2483,2361
86,5,2463,2368
88,6,2367,2389
89,9,2345,2315
90,9,2486,2369
91,9,2368,2354
92,3,2379,2383
95,8,2341,2369
97,6,2269,2243
98,5,2345,2330
100,8,2257,2287
102,3,2252,2324
104,6,2177,2248
111,2,2048,2222
112,9,2118,2264
113,6,2027,2239
114,5,2069,2292
115,8,2128,2247
117,7,2046,2240
118,9,1998,2183
120,6,2016,2244
121,3,1922,2154
122,1,1963,2217
123,8,1900,2103
124,3,1954,2210
126,8,1903,2148
127,2,1930,2182
128,7,1857,2125
130,9,1831,2109
131,6,1841,2097
133,6,1788,2056
134,2,1770,2042
135,4,1788,2089
136,1,1824,2082
137,3,1718,2011
138,5,1786,2076
139,1,1763,2053
140,7,1723,2007
141,1,1704,1967
142,6,1705,1995
145,2,1656,1968
147,5,1594,1891
148,9,1581,1883
