nrh,ix,L,R
2,1,1791,1504
5,8,1773,1508
8,5,1772,1509
9,7,1783,1556
10,8,1773,1546
11,2,1782,1533
12,3,1776,1537
16,6,1788,1581
18,6,1807,1570
19,7,1801,1588
20,3,1802,1591
21,3,1793,1546
22,1,1791,1587
23,7,1828,1646
24,6,1776,1550
25,3,1780,1626
27,3,1786,1572
28,3,1747,1540
31,2,1784,1639
32,1,1784,1573
34,3,1786,1639
36,4,1799,1644
37,6,1763,1600
38,2,1795,1665
39,7,1781,1588
40,6,1784,1666
41,2,1745,1585
42,7,1788,1630
43,7,1814,1647
45,1,1801,1620
46,4,1739,1612
47,8,1818,1690
50,7,1805,1689
51,5,1741,1618
52,4,1781,1680
53,3,1766,1671
54,9,1756,1676
56,4,1759,1662
58,9,1743,1649
60,9,1739,1673
62,9,1740,1635
64,3,1737,1674
65,9,1745,1738
67,9,1759,1683
68,8,1760,1745
69,2,1729,1657
70,6,1728,1662
71,3,1745,1744
72,4,1719,1728
73,9,1761,1663
74,7,1722,1628
77,3,1713,1717
79,1,1670,1625
82,9,1729,1712
84,1,1714,1723
85,2,1685,1721
86,1,1676,1659
87,3,1679,1647
91,6,1669,1644
92,8,1690,1710
93,9,1718,1757
94,3,1674,1701
95,1,1700,1709
97,8,1647,1671
98,8,1667,1711
100,7,1628,1691
101,5,1600,1619
103,7,1668,1712
104,8,1630,1677
106,4,1598,1677
107,8,1618,1705
108,1,1660,1674
109,9,1628,1673
110,6,1642,1695
111,8,1600,1640
112,4,1556,1642
113,1,1622,1665
116,5,1576,1659
117,1,1616,1645
118,1,1594,1660
119,9,1602,1683
121,8,1559,1646
122,2,1600,1678
124,1,1554,1643
126,8,1493,1609
128,1,1507,1635
129,3,1510,1643
130,7,1499,1602
131,1,1498,1623
133,7,1503,1643
134,8,1488,1636
136,9,1490,1634
137,6,1481,1647
138,3,1451,1613
139,4,1476,1632
140,5,1461,1610
141,9,1437,1605
142,6,1441,1614
143,8,1439,1601
146,7,1409,1592
