nrh,ix,L,R
1,6,1061,896
2,4,1065,889
3,1,1070,909
4,1,1067,907
5,8,1067,898
6,6,1072,905
9,5,1073,930
10,5,1074,951
11,8,1065,947
12,3,1073,968
13,7,1076,969
14,3,1083,971
15,2,1063,942
16,6,1095,993
17,2,1076,958
18,4,1074,979
19,1,1092,1000
20,2,1095,987
21,1,1079,992
22,3,1090,998
23,8,1113,1013
25,4,1079,1013
26,6,1081,1022
27,2,1099,1035
28,9,1104,992
29,9,1093,1034
30,5,1136,1069
31,7,1110,1050
32,1,1092,1044
34,4,1107,1078
35,2,1075,1047
36,5,1121,1037
37,1,1084,1042
38,6,1123,1080
39,4,1101,1089
40,8,1093,1071
41,4,1108,1070
42,3,1167,1144
46,7,1121,1141
48,7,1117,1139
49,5,1106,1133
50,9,1158,1207
51,1,1149,1165
52,4,1098,1121
53,1,1097,1146
54,8,1122,1139
55,2,1100,1115
56,9,1156,1203
57,7,1124,1209
58,8,1134,1166
59,9,1110,1206
60,3,1152,1206
61,7,1172,1233
62,1,1114,1137
63,4,1185,1218
64,3,1157,1234
65,5,1119,1210
66,9,1140,1239
67,8,1153,1256
68,9,1119,1212
69,1,1168,1252
70,8,1146,1197
71,3,1141,1239
73,2,1133,1188
75,8,1156,1272
76,8,1151,1257
77,1,1164,1256
78,9,1165,1226
79,6,1151,1248
80,9,1181,1265
81,7,1190,1296
82,2,1155,1303
86,2,1141,1227
87,7,1113,1234
89,5,1160,1278
90,8,1110,1281
91,9,1129,1275
92,5,1188,1330
93,8,1150,1297
95,5,1128,1316
96,2,1159,1309
97,4,1151,1334
98,1,1151,1275
100,7,1111,1275
101,5,1161,1317
102,7,1164,1350
103,2,1160,1344
104,1,1129,1322
105,8,1159,1382
106,6,1149,1364
108,2,1126,1331
109,4,1118,1373
111,4,1139,1370
112,4,1122,1373
113,7,1104,1353
114,9,1104,1375
115,5,1108,1356
116,5,1093,1357
118,3,1092,1370
120,5,1087,1372
