nrh,ix,L,R
1,4,1280,947
2,7,1270,935
3,7,1284,956
4,7,1294,959
5,1,1290,953
6,5,1290,960
7,4,1313,978
9,7,1318,1003
10,9,1319,1028
11,2,1320,1022
12,9,1345,1047
13,9,1314,1031
14,7,1327,1039
15,3,1329,1067
17,5,1337,1077
19,6,1376,1138
20,1,1385,1159
21,6,1338,1106
23,5,1349,1094
25,3,1361,1139
26,9,1398,1159
28,7,1363,1147
29,4,1400,1196
30,9,1411,1214
31,9,1408,1198
32,3,1429,1227
33,9,1424,1232
34,4,1429,1227
35,2,1450,1251
36,1,1442,1274
37,1,1437,1264
38,7,1423,1210
39,9,1434,1299
41,5,1460,1318
42,2,1464,1316
43,7,1465,1315
44,7,1451,1302
45,4,1469,1345
47,2,1466,1332
48,5,1455,1324
49,6,1457,1373
50,1,1468,1353
52,5,1458,1359
54,9,1479,1374
55,6,1472,1383
56,5,1485,1398
57,6,1501,1432
58,2,1499,1420
59,7,1471,1407
61,1,1476,1407
62,1,1486,1424
63,1,1463,1414
64,5,1514,1473
65,1,1502,1501
67,7,1493,1481
68,8,1510,1493
70,7,1506,1488
72,6,1515,1498
73,2,1492,1496
74,9,1526,1552
75,8,1514,1518
76,8,1533,1561
77,8,1509,1551
78,4,1520,1553
79,4,1525,1569
82,3,1529,1591
83,9,1505,1557
84,1,1532,1605
85,3,1518,1573
87,9,1509,1582
88,2,1522,1631
90,7,1526,1612
91,3,1515,1612
93,4,1517,1620
94,4,1529,1654
95,9,1501,1612
96,7,1492,1596
97,4,1510,1619
98,8,1511,1630
100,3,1499,1633
101,7,1510,1651
102,5,1519,1686
103,5,1513,1674
105,1,1505,1670
106,2,1517,1692
107,2,1506,1683
108,8,1497,1678
109,2,1506,1680
110,8,1501,1705
111,8,1502,1692
112,9,1486,1704
113,5,1501,1711
114,3,1495,1696
116,5,1493,1720
117,8,1497,1714
118,8,1497,1731
119,6,1502,1731
120,4,1489,1726
121,6,1484,1727
122,4,1483,1730
