nrh,ix,L,R
1,9,1824,1818
2,7,1830,1819
3,3,1842,1838
5,8,1818,1826
6,7,1837,1821
7,3,1826,1829
8,4,1831,1821
10,3,1836,1842
11,6,1836,1875
12,6,1823,1886
13,1,1840,1870
14,8,1830,1874
15,7,1804,1872
16,4,1834,1902
17,7,1815,1871
18,5,1813,1896
19,3,1820,1883
21,4,1821,1913
22,7,1822,1906
23,5,1822,1901
24,1,1819,1900
25,5,1829,1904
26,9,1819,1937
27,8,1836,1918
28,8,1828,1937
29,3,1831,1923
31,7,1816,1940
32,5,1802,1922
33,5,1832,1936
35,6,1816,1943
36,8,1808,1917
37,8,1851,1956
38,4,1826,1963
39,9,1812,1926
40,2,1797,1909
41,5,1827,1977
43,2,1808,1989
44,8,1777,1944
45,3,1831,1986
46,3,1791,1997
47,7,1810,1960
49,5,1776,1977
50,4,1806,1994
51,7,1797,1981
52,8,1775,1974
53,5,1760,1953
54,5,1768,1997
55,3,1762,1973
57,9,1768,1979
60,5,1787,2020
61,6,1742,1973
63,2,1773,1999
64,1,1765,1993
66,2,1752,2003
67,9,1686,1956
68,4,1732,1965
70,7,1728,1997
71,8,1716,1954
72,8,1713,1979
73,4,1708,1959
74,6,1710,1976
75,5,1698,1981
76,7,1719,1989
77,5,1665,1990
78,1,1690,1962
79,3,1683,1946
80,5,1679,1990
81,1,1658,1954
82,6,1636,1954
83,9,1648,1953
84,1,1657,1958
85,1,1658,1991
86,8,1662,1970
87,1,1660,1965
88,1,1598,1931
89,4,1613,1951
90,3,1614,1961
91,5,1627,1963
92,8,1587,1932
93,1,1583,1933
94,6,1588,1935
95,8,1569,1928
96,9,1560,1930
97,1,1562,1933
98,5,1577,1946
99,4,1541,1948
100,2,1562,1926
101,6,1556,1954
103,7,1575,1964
104,9,1512,1928
106,8,1485,1901
107,8,1531,1939
109,3,1499,1922
110,5,1479,1888
112,4,1473,1922
113,8,1437,1884
114,5,1411,1866
115,4,1420,1882
116,7,1425,1873
119,9,1394,1868
