nrh,ix,L,R
1,8,1151,462
2,4,1175,474
3,9,1151,485
4,1,1111,523
5,2,1157,545
6,2,1160,524
7,6,1099,558
8,3,1175,585
9,2,1064,645
10,5,1121,621
12,8,1123,648
13,4,1099,556
15,4,1158,631
16,6,1136,615
18,7,1060,781
19,5,1147,645
20,5,1086,742
21,4,987,805
22,9,1059,775
23,4,1096,768
24,1,1091,850
25,3,1136,811
26,7,1017,790
27,1,1114,838
28,1,1068,842
29,9,1115,973
30,4,1116,824
31,8,1083,788
32,9,1052,837
33,8,1027,888
34,9,1081,940
35,8,1004,953
36,5,987,893
37,5,1028,908
38,8,1024,922
39,3,968,1045
40,1,1042,1011
41,3,962,957
42,2,928,983
43,4,963,930
44,5,905,941
45,2,967,1069
46,8,940,1038
47,1,879,1091
48,9,922,1017
49,5,938,977
50,3,914,1214
52,5,856,1140
53,1,871,1217
54,3,842,1191
55,9,900,1109
56,3,812,1095
57,9,834,1140
58,9,841,1112
59,2,829,1193
60,8,809,1133
61,7,854,1254
62,5,768,1178
63,1,762,1269
64,4,815,1113
65,5,817,1127
66,2,750,1160
67,3,772,1093
68,1,747,1274
69,3,715,1111
70,2,754,1158
71,3,735,1274
72,4,690,1237
73,5,734,1101
74,9,716,1327
75,6,707,1236
76,9,697,1149
77,3,650,1277
78,2,673,1244
79,5,650,1207
81,7,563,1407
82,8,544,1346
83,2,565,1256
84,3,529,1353
85,1,574,1367
86,1,535,1356
87,6,555,1320
88,7,541,1240
89,2,494,1354
90,1,511,1382
91,5,488,1297
92,7,491,1312
93,3,464,1369
94,9,454,1264
95,9,486,1298
96,3,428,1243
97,7,439,1336
98,9,420,1316
99,3,415,1335
100,9,399,1338
101,1,381,1356
102,2,403,1320
103,3,379,1346
104,8,380,1320
105,5,369,1338
