nrh,ix,L,R
2,2,973,342
3,9,987,350
4,5,976,368
5,9,924,333
7,2,916,357
8,4,920,383
9,2,956,392
10,3,918,406
11,5,989,416
12,1,993,450
13,9,928,438
14,8,924,440
16,2,936,457
17,5,919,532
18,8,954,487
19,9,894,456
21,8,884,465
22,2,883,515
23,9,910,565
24,6,926,548
25,7,951,624
26,1,887,574
27,8,834,581
28,7,834,575
29,5,875,606
30,3,904,651
31,5,780,602
32,5,799,589
33,4,782,646
34,9,819,668
37,3,801,731
39,2,757,753
41,8,710,769
43,9,763,800
44,4,752,836
45,4,672,785
46,4,663,841
48,9,672,836
49,3,797,891
50,9,766,1005
51,8,742,910
52,5,692,1061
53,1,665,956
54,5,660,944
55,1,676,917
56,9,712,964
57,2,694,1020
58,4,683,1047
60,8,639,1128
61,4,674,1108
62,4,627,1118
63,6,657,1139
64,4,626,1141
65,8,641,1089
66,2,602,1113
67,6,626,1181
68,1,631,1236
69,6,595,1168
70,6,641,1294
71,7,633,1303
72,9,615,1272
73,6,595,1307
74,2,583,1371
75,7,597,1257
76,2,547,1279
77,2,611,1373
78,3,532,1333
79,5,571,1369
80,9,562,1391
81,2,545,1392
84,4,541,1372
85,4,530,1377
86,5,511,1413
87,8,511,1384
88,7,513,1377
90,9,456,1396
91,1,439,1375
92,9,510,1451
93,2,474,1410
94,8,482,1431
96,2,453,1372
98,8,462,1444
99,2,436,1387
100,8,473,1456
101,1,436,1478
103,3,416,1451
106,5,400,1450
107,6,415,1469
108,5,399,1465
109,9,389,1497
110,2,369,1504
111,7,377,1460
114,8,344,1464
115,8,340,1446
118,9,333,1462
119,8,325,1473
120,7,334,1481
121,2,308,1467
122,2,317,1468
123,3,317,1477
