nrh,ix,L,R
1,3,2015,552
2,6,1981,553
4,4,2048,588
5,2,1958,565
6,7,2039,624
8,5,2055,644
10,6,1993,588
12,1,2068,647
13,2,1894,670
15,8,1987,607
16,5,1958,663
20,5,2089,696
21,1,1910,701
22,1,1880,658
23,5,2056,781
24,9,1884,671
25,1,1991,808
27,7,1788,815
29,4,1867,736
30,1,1906,756
32,4,1758,737
35,4,1919,798
39,9,1746,851
41,8,1985,941
45,8,1965,941
46,3,1940,809
47,2,1822,931
49,8,1552,711
51,7,1624,944
56,2,1801,1036
57,6,1690,1026
58,1,1778,1055
59,8,1743,1040
60,2,1871,1040
61,7,1667,1021
62,7,1699,1035
63,8,1509,972
64,7,1532,966
65,2,1811,1086
66,9,1699,1084
67,6,1611,1037
68,7,1669,950
70,4,1225,1008
71,5,1576,1128
72,7,1732,1144
73,9,1757,1280
74,9,1403,1060
76,2,1331,1117
81,9,1483,1263
82,2,1439,1228
83,8,1456,1218
85,2,1428,1206
86,5,1318,1145
87,6,1296,1278
88,7,1690,1279
89,7,1185,960
91,6,1763,1274
94,2,1198,1159
97,2,1537,1366
99,1,1366,1229
100,4,1197,1261
102,7,1391,1311
104,2,1058,1220
105,9,1209,1258
107,6,1095,1210
110,2,1375,1475
111,9,1270,1278
112,8,1124,1345
115,1,955,1221
116,2,1031,1264
117,1,1154,1396
120,1,974,1184
123,3,1081,1327
125,2,894,1198
127,5,1132,1398
128,5,976,1398
129,6,858,1205
133,6,1012,1421
134,2,944,1346
139,8,827,1189
140,1,899,1341
141,4,904,1349
142,4,782,1271
144,2,886,1355
148,4,749,1375
150,3,722,1303
151,3,749,1290
156,7,627,1201
157,5,717,1314
159,5,612,1202
160,3,619,1224
163,2,600,1238
164,7,649,1333
165,5,576,1236
167,2,556,1162
170,8,581,1259
171,4,510,1209
174,1,465,1166
175,3,496,1180
178,5,477,1191
