nrh,ix,L,R
1,8,1064,191
2,5,1044,197
3,8,1065,202
4,9,1060,202
6,6,1076,227
7,2,1044,228
8,2,1031,229
10,1,1049,267
12,2,1035,280
13,9,976,250
14,5,992,249
15,8,973,316
16,3,1047,348
17,7,990,323
18,1,995,322
19,9,1015,357
20,9,1029,377
21,7,944,355
22,3,930,386
24,7,945,453
25,9,1003,459
26,7,988,468
27,2,945,463
30,2,884,448
31,7,908,408
32,9,902,490
33,4,909,566
34,5,873,528
35,4,942,543
36,3,963,607
38,4,960,638
40,2,912,668
41,2,888,620
42,2,878,686
43,8,861,786
44,5,825,726
45,3,875,720
47,9,777,689
48,9,846,765
50,7,809,780
51,4,811,837
52,2,818,923
53,9,714,902
54,3,741,832
55,9,893,967
56,3,672,739
57,2,801,939
58,2,730,898
59,2,720,1073
62,9,741,1012
63,9,667,1050
64,3,719,1077
66,9,670,1184
67,6,755,1134
68,1,717,1142
69,2,697,1098
70,3,730,1226
71,5,751,1260
72,1,603,1160
74,5,654,1344
77,7,586,1245
78,6,644,1225
79,4,641,1312
81,2,578,1305
82,8,633,1260
83,2,568,1331
84,5,561,1295
85,5,564,1450
86,9,564,1358
87,8,563,1401
88,1,567,1398
89,3,478,1493
90,8,449,1400
91,2,467,1409
92,8,462,1456
93,4,525,1428
94,7,451,1538
96,6,378,1379
97,3,387,1463
98,9,434,1536
99,2,415,1476
101,3,440,1437
102,3,320,1427
104,3,350,1458
105,5,301,1439
106,7,306,1546
108,7,336,1545
109,3,302,1519
110,1,279,1524
111,4,218,1483
112,1,263,1539
113,2,264,1544
114,2,253,1540
117,7,213,1551
118,7,273,1583
121,7,195,1525
123,4,180,1525
125,6,180,1567
126,3,169,1539
127,5,169,1546
