nrh,ix,L,R
3,1,2456,981
4,2,2389,1004
5,4,2433,1013
6,9,2542,1162
7,6,2464,1057
9,4,2406,1079
10,3,2645,1315
11,9,2449,1138
12,2,2616,1221
13,4,2735,1443
14,9,2364,1194
15,6,2578,1386
16,9,2605,1450
17,9,2636,1441
18,2,2622,1430
19,6,2689,1644
20,1,2495,1357
21,3,2402,1324
22,5,2648,1681
23,4,2607,1580
24,3,2662,1649
25,9,2535,1543
27,5,2711,1719
28,9,2633,1724
29,6,2666,1832
30,3,2682,1848
31,5,2603,1834
32,3,2665,1883
33,1,2719,2047
34,1,2620,1983
37,5,2608,2088
38,7,2767,2095
39,2,2854,2188
40,8,2779,2000
41,3,2705,2083
42,4,2735,2251
43,7,2637,2169
44,3,2454,2122
45,4,2887,2382
47,1,2554,2234
48,5,2466,2158
49,6,2811,2415
50,8,2665,2382
51,5,2385,2008
52,4,2565,2304
53,5,2818,2542
54,1,2621,2424
57,3,2675,2644
58,3,2271,2203
59,8,2680,2511
60,9,2430,2494
61,4,2529,2555
62,9,2617,2576
63,5,2588,2647
65,6,2404,2568
66,4,2549,2636
68,2,2559,2662
69,7,2487,2661
70,7,2487,2651
71,8,2624,2752
72,5,2630,2751
73,7,2415,2732
74,1,2451,2735
75,9,2434,2630
76,9,2559,2750
77,7,2462,2753
78,4,2610,2766
81,6,2603,2803
82,2,2382,2691
83,7,2297,2734
84,9,2597,2855
85,7,2476,2797
86,8,2349,2785
87,6,2434,2786
88,3,2450,2875
89,8,2207,2769
90,6,2267,2812
91,8,2435,2848
92,5,2097,2740
94,5,2216,2801
96,6,2084,2821
97,4,2137,2802
98,1,2112,2778
99,1,2068,2833
100,9,2316,2888
101,1,2088,2814
102,5,2019,2785
103,9,2112,2858
104,4,2117,2898
106,8,2134,2880
107,6,1921,2786
108,1,1995,2862
109,1,2000,2871
110,9,1842,2792
111,5,1899,2870
113,6,2005,2888
114,9,1856,2812
115,6,1849,2835
116,1,1846,2836
117,6,1813,2795
