nrh,ix,L,R
1,2,1295,499
2,3,1312,524
4,4,1313,532
7,3,1327,550
8,2,1333,571
10,5,1357,589
12,1,1315,569
13,2,1334,559
14,1,1352,578
18,1,1379,638
20,3,1374,679
21,4,1438,742
22,6,1367,684
23,3,1421,781
26,5,1458,796
27,3,1404,783
28,3,1409,732
29,8,1460,775
30,8,1454,840
33,8,1476,859
34,2,1349,788
35,1,1518,954
36,4,1499,996
37,4,1420,771
38,8,1453,810
39,2,1427,771
41,4,1494,954
42,4,1446,851
43,1,1532,990
44,4,1495,1067
45,4,1516,1012
46,1,1428,928
49,3,1560,1087
50,9,1507,941
51,4,1591,1157
52,6,1496,924
53,4,1528,1135
54,2,1502,1006
56,5,1477,1061
58,7,1484,956
59,5,1569,1362
60,1,1547,1184
61,2,1538,1217
63,8,1582,1261
67,7,1553,1254
68,5,1573,1179
70,8,1604,1305
71,6,1527,1286
72,5,1588,1260
75,6,1606,1427
77,8,1549,1433
79,3,1590,1565
80,9,1652,1510
82,9,1617,1544
83,2,1650,1507
84,4,1614,1535
85,1,1560,1492
86,6,1633,1545
87,7,1585,1621
88,9,1597,1568
89,6,1573,1568
90,1,1611,1640
91,8,1493,1447
92,6,1582,1556
93,2,1615,1511
96,5,1585,1684
98,5,1592,1518
103,6,1548,1586
104,1,1598,1734
105,2,1594,1825
106,7,1564,1650
107,4,1589,1778
108,1,1549,1748
109,9,1501,1768
110,9,1599,1836
111,1,1557,1804
112,3,1554,1835
113,8,1545,1824
114,4,1515,1813
116,4,1526,1780
117,1,1580,1838
118,3,1502,1796
120,4,1512,1882
121,6,1531,1893
122,5,1508,1861
123,6,1541,1838
124,8,1504,1792
125,1,1503,1916
128,6,1522,1935
130,8,1479,1922
131,4,1491,1900
132,5,1492,1930
134,8,1447,1936
135,8,1441,1914
136,4,1463,1913
137,8,1438,1939
138,3,1446,1930
140,5,1437,1948
141,8,1433,1934
142,5,1421,1924
