nrh,ix,L,R
1,8,1592,174
2,1,1590,188
3,7,1587,188
4,7,1603,194
5,1,1593,190
6,5,1573,167
7,9,1579,208
8,9,1594,179
9,8,1556,197
10,4,1557,194
12,1,1554,198
13,8,1535,184
14,4,1508,166
15,5,1527,197
17,5,1521,210
18,2,1539,254
19,4,1487,184
20,9,1505,269
21,3,1499,231
22,8,1457,263
23,8,1429,221
24,7,1469,235
25,4,1444,250
26,9,1440,274
27,4,1460,226
28,3,1432,266
29,4,1381,242
30,4,1430,258
31,1,1295,208
33,8,1386,306
34,3,1409,219
35,3,1343,243
36,7,1276,221
37,7,1373,264
38,5,1362,341
41,2,1282,352
43,1,1266,324
44,3,1296,442
45,2,1321,348
46,9,1211,399
51,3,1186,382
52,6,1161,359
53,1,1162,423
55,7,1050,413
57,6,1011,450
58,3,1071,437
61,6,1050,584
62,6,1040,487
63,3,1020,580
64,2,1086,703
65,6,1108,730
66,9,923,509
68,3,936,570
69,7,1038,645
70,6,1099,706
71,1,1033,732
73,6,966,719
74,5,851,700
76,3,916,672
77,6,822,721
78,8,939,775
79,9,917,881
80,9,834,809
81,6,950,846
83,1,976,988
84,8,910,980
85,7,930,853
86,5,975,969
87,2,710,762
89,2,905,907
90,9,705,982
91,6,792,979
92,3,732,949
93,2,809,1054
94,7,1068,1235
96,2,857,1230
97,1,761,1069
98,6,806,1167
99,9,881,1266
100,4,787,1199
101,9,864,1269
102,6,892,1326
103,1,703,1275
105,8,869,1338
106,1,715,1296
107,7,866,1393
108,4,726,1317
109,4,806,1424
110,3,725,1345
112,6,687,1337
113,9,813,1413
115,5,876,1487
116,9,886,1501
117,6,740,1461
118,2,748,1378
119,3,682,1407
122,2,688,1386
125,8,672,1383
128,3,712,1448
129,8,732,1484
