nrh,ix,L,R
1,7,1575,771
2,9,1571,761
3,8,1580,785
6,3,1577,791
7,5,1562,807
8,8,1552,796
9,5,1501,806
10,6,1516,818
11,6,1563,850
12,6,1502,818
13,6,1482,822
14,5,1504,825
15,7,1535,858
16,6,1527,870
19,4,1467,851
21,2,1500,921
22,1,1516,976
26,1,1438,867
28,1,1494,984
29,6,1495,991
30,4,1426,966
31,4,1434,936
32,6,1412,990
33,5,1441,980
34,3,1490,1052
35,3,1463,1020
36,6,1391,1026
37,2,1427,1051
39,4,1389,1051
40,6,1381,1055
41,4,1398,1047
42,9,1423,1062
43,1,1361,1130
44,4,1324,1074
46,8,1386,1087
47,2,1305,1157
50,8,1361,1128
51,7,1305,1234
52,1,1277,1153
53,2,1261,1172
55,9,1325,1220
56,3,1229,1295
57,7,1241,1246
59,7,1242,1261
60,8,1247,1290
62,3,1260,1256
63,5,1167,1320
64,2,1146,1253
65,5,1217,1309
67,4,1180,1378
69,5,1106,1423
70,2,1148,1427
73,7,1151,1420
76,1,1149,1424
79,2,1045,1487
81,2,1063,1564
82,6,1036,1608
83,7,1038,1597
84,8,1074,1585
85,9,1038,1651
86,3,1015,1591
87,9,1011,1571
89,4,1012,1628
90,4,983,1653
91,6,1015,1696
94,8,1020,1654
95,9,992,1728
96,5,950,1712
97,8,922,1701
99,4,984,1725
100,2,948,1763
101,6,922,1770
102,1,900,1753
103,7,926,1774
104,1,889,1776
105,9,866,1797
106,5,842,1769
107,1,940,1828
109,2,874,1791
112,3,810,1795
113,4,745,1807
114,9,813,1813
115,5,861,1827
116,7,807,1834
117,7,812,1846
119,3,735,1819
120,7,796,1816
121,8,800,1825
122,6,720,1830
123,5,761,1870
124,5,748,1856
125,6,758,1848
126,9,728,1857
127,2,736,1853
128,1,725,1877
130,4,728,1869
131,6,711,1871
132,9,716,1889
133,4,680,1881
134,5,681,1877
