nrh,ix,L,R
5,3,2047,1673
6,3,2048,1673
9,3,2051,1682
25,7,2054,1704
33,8,2051,1702
39,1,2052,1702
47,5,2057,1714
48,9,2067,1738
63,1,2063,1747
66,5,2075,1725
73,6,2075,1766
76,9,2062,1745
87,9,2044,1716
91,2,2074,1789
96,2,2087,1766
103,5,2081,1794
118,5,2074,1804
120,8,2051,1781
122,8,2070,1771
131,5,2072,1776
132,8,2073,1788
137,5,2075,1860
149,8,2085,1819
154,1,2068,1826
164,2,2062,1823
179,4,2083,1887
189,5,2072,1895
193,3,2054,1840
194,5,2065,1898
195,1,2074,1892
209,3,2044,1915
211,6,2076,1904
223,6,2052,1880
231,2,2089,1950
232,9,2073,1924
234,8,2061,1904
249,7,2073,1917
257,1,2047,1921
260,2,2044,1933
261,1,2044,1939
271,5,2043,1930
275,4,2042,1923
277,7,2048,1897
278,9,2043,1913
283,6,2052,1936
297,2,2045,1945
301,8,2066,1990
313,6,2044,1961
314,4,2032,1985
316,5,2035,1937
333,7,2035,1941
335,3,2025,1915
337,4,2019,1943
339,1,2031,1970
340,8,2011,1933
344,3,2024,2009
345,1,2022,1974
349,9,2009,1951
359,7,2005,1963
393,7,2011,2029
404,9,1967,1943
405,8,1977,1975
423,6,2008,2003
429,6,1970,2044
433,5,1959,1982
438,3,1947,1945
443,2,1989,2053
455,4,1957,2021
456,1,1993,2038
457,1,1963,1994
464,7,1938,1956
468,5,1944,2001
471,2,1933,1944
472,3,1950,2026
493,5,1921,1984
500,7,1893,1979
502,6,1922,1985
503,3,1895,1953
506,3,1925,1977
507,1,1897,1962
513,6,1902,2001
515,6,1903,1994
517,7,1891,2008
524,6,1906,1995
532,9,1867,1980
533,1,1913,2000
534,2,1885,1975
539,3,1873,1940
544,5,1880,1984
570,7,1832,1956
572,2,1817,1932
574,5,1819,1980
575,5,1836,1978
581,2,1817,1962
590,5,1815,1932
591,7,1803,1973
598,3,1820,1992
602,6,1813,2000
607,8,1794,1952
609,9,1790,1939
